Date,Number 1,Number 2,Number 3,Number 4,Number 5,Megaball,Megaplier, Jackpot ,Lump Sum,
07/21/2015,74,30,20,65,62,1,5," 152,000,000.00 "," 91,808,000.00 "," 22,952,000.00 "
03/08/2016,37,66,27,69,54,5,5," 157,000,000.00 "," 94,828,000.00 "," 23,707,000.00 "
01/08/2016,51,39,11,57,75,2,5," 165,000,000.00 "," 99,660,000.00 "," 24,915,000.00 "
03/31/2017,32,27,58,17,24,10,3," 174,000,000.00 "," 105,096,000.00 "," 26,274,000.00 "
08/22/2014,31,34,5,74,41,3,5," 180,000,000.00 "," 108,720,000.00 "," 27,180,000.00 "
01/27/2017,61,53,54,17,37,8,3," 188,000,000.00 "," 113,552,000.00 "," 28,388,000.00 "
10/01/2013,53,30,10,37,7,1,3," 189,000,000.00 "," 114,156,000.00 "," 28,539,000.00 "
05/17/2013,35,11,49,43,15,41,4," 190,000,000.00 "," 114,760,000.00 "," 28,690,000.00 "
11/13/2015,17,31,18,59,35,9,5," 200,000,000.00 "," 120,800,000.00 "," 30,200,000.00 "
12/27/2011,32,43,23,33,39,8,3," 206,000,000.00 "," 124,424,000.00 "," 31,106,000.00 "
06/02/2015,2,11,22,9,23,12,4," 260,000,000.00 "," 157,040,000.00 "," 39,260,000.00 "
05/04/2010,21,9,36,43,31,8,3," 266,000,000.00 "," 160,664,000.00 "," 40,166,000.00 "
01/16/2015,26,32,44,58,45,11,3," 270,000,000.00 "," 163,080,000.00 "," 40,770,000.00 "
03/25/2011,22,54,24,31,52,4,4," 312,000,000.00 "," 188,448,000.00 "," 47,112,000.00 "
11/04/2014,15,24,41,9,39,1,4," 321,000,000.00 "," 193,884,000.00 "," 48,471,000.00 "
01/04/2011,15,47,4,25,8,42,4," 355,000,000.00 "," 214,420,000.00 "," 53,605,000.00 "
08/11/2017,56,23,58,33,53,6,5," 393,000,000.00 "," 237,372,000.00 "," 59,343,000.00 "
03/18/2014,51,24,11,33,19,7,3," 400,000,000.00 "," 241,600,000.00 "," 60,400,000.00 "
01/05/2018,70,59,30,28,39,10,3," 450,000,000.00 "," 271,800,000.00 "," 67,950,000.00 "
03/30/2018,59,46,28,11,31,1,3," 521,000,000.00 "," 314,684,000.00 "," 78,671,000.00 "
07/24/2018,19,2,4,1,29,20,3," 522,000,000.00 "," 315,288,000.00 "," 78,822,000.00 "
07/08/2016,20,19,55,73,8,5,2," 540,000,000.00 "," 326,160,000.00 "," 81,540,000.00 "
12/17/2013,8,20,14,17,39,7,4," 636,000,000.00 "," 384,144,000.00 "," 96,036,000.00 "
03/30/2012,46,23,38,4,2,23,3," 640,000,000.00 "," 386,560,000.00 "," 96,640,000.00 "
